Index,Name,Cereals,Condiments,Dairy,Eggs,Fats & Oils,Flour,Fruits,"Herbs, Spices, Dry Seasonings, and Broths",Leavening Agents & Additives,Meat & Poultry,"Nuts, Seeds, & Beans",Seafood,Sweeteners and Flavorers,Vegetables,Alcohol,Grain
0,Acesulfame Potassium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Acorn Squash,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Agar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Agave Syrup,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Aji Amarillo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Ajwain,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,Ají Dulce,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Alfalfa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,Allspice,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Almond,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Almond Extract,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Amaranth,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Anchovy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Anise,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,Annatto,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Applesauce,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Apricot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Arrowroot,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Artichoke,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Arugula,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Asafoetida,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Asian Pear,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Asparagus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Aspartame,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Avocado,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,Azuki Bean,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,Bacon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,Bagoong Alamang,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Baharat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Baking Powder,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Baking Soda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Bamboo Shoot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,Banana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,Barley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Basil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Basmati Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Bay Leaf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Bean Sprout,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,Beef,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,Beer ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42,Beet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
